iso_code	Glottocode	gloss_global	Word_Form	phon_northeuralex	IPA	ASJP	List	Dolgo	Next_Step
ben	beng1280	Erde::N	ভূমি	bʰumi	bʰ u m i	bumi	PYMI	PVMV	validate
ben	beng1280	Staub::N	ধুলা	d̪ʰula	dʰ u l a	dula	TYLA	TVRV	validate
ben	beng1280	Rauch::N	ধোঁয়া	d̪ʰõwa	dʰ õ w a	dowa	TUWA	TVWV	validate
ben	beng1280	Feuer::N	অগ্নি	ɔɡni	ɔ ɡ n i	ogni	UKNI	VKNV	validate
ben	beng1280	Nebel::N	কুহেলিকা	kuɦelika	k u ɦ e l i k a	kuhelika	KYHELIKA	KVHVRVKV	validate
ben	beng1280	Wolke::N	মেঘ	meɡʰ	m e ɡʰ	meg	MEK	MVK	validate
ben	beng1280	Regen::N	বৃষ্টি	briʃʈi	b r i ʃ ʈ i	briSti	PRISTI	PRVSTV	validate
ben	beng1280	Schnee::N	তুষার	t̪uʃar	t u ʃ a r	tuSar	TYSAR	TVSVR	validate
ben	beng1280	Eis::N	বরফ	bɔrop͡fo	b ɔ r o p͡f o	boropo	PURUBU	PVRVPV	validate
ben	beng1280	See::N	হ্রদ	ɦrɔd̪	ɦ r ɔ d	hrod	HRUT	HRVT	validate
ben	beng1280	Wald::N	বন	bɔn	b ɔ n	bon	PUN	PVN	validate
ben	beng1280	Berg::N	পর্বত	pɔrbot̪	p ɔ r b o t	porbot	PURPUT	PVRPVT	validate
ben	beng1280	Fluss::N	নদী	nɔd̪i	n ɔ d i	nodi	NUTI	NVTV	validate
ben	beng1280	Meer::N	সমুদ্র	ʃɔmud̪ro	ʃ ɔ m u d r o	Somudro	SUMYTRU	SVMVTRV	validate
ben	beng1280	Blume::N	ফুল	p͡ful	p͡f u l	pul	BYL	PVR	validate
ben	beng1280	Gras::N	ঘাস	ɡʰaʃ	ɡʰ a ʃ	gaS	KAS	KVS	validate
ben	beng1280	Wurzel::N	শিকড়	ʃikɔɽɔ	ʃ i k ɔ ɽ ɔ	Sikoro	SIKURU	SVKVRV	review
ben	beng1280	Baum::N	গাছ	ɡat͡ʃʰ	ɡ a t͡ʃ ʰ	gaC	KAC	KVK	validate
ben	beng1280	Rinde::N	বল্কল	bɔlkol	b ɔ l k o l	bolkol	PULKUL	PVRKVR	validate
ben	beng1280	Blatt::N	পর্ণ	pɔrno	p ɔ r n o	porno	PURNU	PVRNV	validate
ben	beng1280	Horn::N	শিং	ʃiŋ	ʃ i ŋ	SiN	SIN	SVN	review
ben	beng1280	Feder::N	পালক	palɔk	p a l ɔ k	palok	PALUK	PVRVK	review
ben	beng1280	Flügel::N	ডানা	ɖana	ɖ a n a	dana	TANA	TVNV	validate
ben	beng1280	Schwanz::N	লেজ	led͡ʒ	l e d͡ʒ	lej	LEC	RVK	validate
ben	beng1280	Ei::N	ডিম	ɖim	ɖ i m	dim	TIM	TVM	validate
ben	beng1280	Tier::N	জন্তু	d͡ʒɔnt̪u	d͡ʒ ɔ n t u	jontu	CUNTY	KVNTV	validate
ben	beng1280	Hund::N	কুকুর	kukur	k u k u r	kukur	KYKYR	KVKVR	validate
ben	beng1280	Vogel::N	পক্ষী	pɔkkʰi	p ɔ k kʰ i	poki	PUKKI	PVKKV	validate
ben	beng1280	Fisch::N	মাছ	mat͡ʃʰ	m a t͡ʃ ʰ	maC	MAC	MVK	validate
ben	beng1280	Schlange[Tier]::N	সর্প	ʃɔrpo	ʃ ɔ r p o	Sorpo	SURPU	SVRPV	validate
ben	beng1280	Wurm::N	কীট	kiʈ	k i ʈ	kit	KIT	KVT	validate
ben	beng1280	Ameise::N	পিপীলিকা	pipilika	p i p i l i k a	pipilika	PIPILIKA	PVPVRVKV	validate
ben	beng1280	Laus::N	উকুন	ukun	u k u n	ukun	YKYN	VKVN	validate
ben	beng1280	Saat::N	বীজ	bid͡ʒ	b i d͡ʒ	bij	PIC	PVK	review
ben	beng1280	Asche::N	ভস্ম	bʰɔʃmo	bʰ ɔ ʃ m o	boSmo	PUSMU	PVSMV	validate
ben	beng1280	Sand::N	বালি	bali	b a l i	bali	PALI	PVRV	validate
ben	beng1280	Mensch::N	নর	nɔr	n ɔ r	nor	NUR	NVR	review
ben	beng1280	Mensch::N	মানুষ	manuʃ	m a n u ʃ	manuS	MANYS	MVNVS	review
ben	beng1280	Mann::N	মানুষ	manuʃ	m a n u ʃ	manuS	MANYS	MVNVS	review
ben	beng1280	Frau::N	নারী	nari	n a r i	nari	NARI	NVRV	validate
ben	beng1280	Kind::N	বাচ্চা	batt͡ʃa	b a t t͡ʃ a	batCa	PATCA	PVTKV	validate
ben	beng1280	Vater::N	পিতা	pit̪a	p i t a	pita	PITA	PVTV	validate
ben	beng1280	Mutter::N	মাতা	mat̪a	m a t a	mata	MATA	MVTV	validate
ben	beng1280	Ehemann::N	স্বামী	ʃami	ʃ a m i	Sami	SAMI	SVMV	validate
ben	beng1280	Ehefrau::N	পত্নী	pɔt̪ni	p ɔ t n i	potni	PUTNI	PVTNV	validate
ben	beng1280	Name::N	নাম	nam	n a m	nam	NAM	NVM	validate
ben	beng1280	Stock::N	ছড়ি	t͡ʃʰɔɽi	t͡ʃ ʰ ɔ ɽ i	Cori	CURI	KVRV	review
ben	beng1280	Fleisch::N	মাংস	maŋʃo	m a ŋ ʃ o	maNSo	MANSU	MVNSV	validate
ben	beng1280	Fett::N	মেদ	med̪	m e d	med	MET	MVT	validate
ben	beng1280	Salz::N	নুন	nun	n u n	nun	NYN	NVN	validate
ben	beng1280	Schnur::N	দড়ি	d̪ɔɽi	d ɔ ɽ i	dori	TURI	TVRV	validate
ben	beng1280	Straße::N	রাস্তা	rast̪a	r a s t a	rasta	RASTA	RVSTV	validate
ben	beng1280	Tag::N	দিন	d̪in	d i n	din	TIN	TVN	validate
ben	beng1280	Nacht::N	রাত্রি	rat̪ri	r a t r i	ratri	RATRI	RVTRV	validate
ben	beng1280	Jahr::N	সৌরবর্ষ	ʃɔu̯rɔborʃo	ʃ ɔ u r ɔ b o r ʃ o	SouroborSo	SUYRUPURSU	SVRVPVRSV	validate
ben	beng1280	groß::A	বৃহৎ	briɦɔt̪	b r i ɦ ɔ t	brihot	PRIHUT	PRVHVT	validate
ben	beng1280	klein::A	ছোট	t͡ʃʰoʈo	t͡ʃ ʰ o ʈ o	Coto	CUTU	KVTV	validate
ben	beng1280	lang::A	দীর্ঘ	d̪irɡʰo	d i r ɡʰ o	dirgo	TIRKU	TVRKV	validate
ben	beng1280	kurz::A	খর্ব	kʰɔrbo	kʰ ɔ r b o	korbo	KURPU	KVRPV	review
ben	beng1280	kurz::A	হ্রস্ব	ɦrɔʃbo	ɦ r ɔ ʃ b o	hroSbo	HRUSPU	HRVSPV	review
ben	beng1280	breit::A	চওড়া	t͡ʃɔʊ̯ɽa	t͡ʃ ɔ ʊ ɽ a	Coura	CUYRA	KVRV	validate
ben	beng1280	schmal::A	সরু	ʃɔru	ʃ ɔ r u	Soru	SURY	SVRV	validate
ben	beng1280	dick[Gegenstand]::A	পুরু	puru	p u r u	puru	PYRY	PVRV	review
ben	beng1280	dünn::A	কৃশ	kriʃ	k r i ʃ	kriS	KRIS	KRVS	review
ben	beng1280	glatt::A	মসৃণ	mɔʃrin	m ɔ ʃ r i n	moSrin	MUSRIN	MVSRVN	validate
ben	beng1280	rund::A	গোলাকার	ɡolakar	ɡ o l a k a r	golakar	KULAKAR	KVRVKVR	validate
ben	beng1280	scharf::A	শাণিত	ʃanit̪	ʃ a n i t	Sanit	SANIT	SVNVT	review
ben	beng1280	stumpf::A	ভোঁতা	bʰõt̪a	bʰ õ t a	bota	PUTA	PVTV	validate
ben	beng1280	schwer::A	ভারী	bʰari	bʰ a r i	bari	PARI	PVRV	validate
ben	beng1280	warm::A	ঈষদুষ্ণ	iʃɔd̪uʃno	i ʃ ɔ d u ʃ n o	iSoduSno	ISUTYSNU	VSVTVSNV	review
ben	beng1280	kalt::A	ঠাণ্ডা	ʈʰanɖa	ʈʰ a n ɖ a	tanda	TANTA	TVNTV	validate
ben	beng1280	nass::A	ভিজা	bʰid͡ʒa	bʰ i d͡ʒ a	bija	PICA	PVKV	validate
ben	beng1280	trocken::A	শুষ্ক	ʃuʃko	ʃ u ʃ k o	SuSko	SYSKU	SVSKV	validate
ben	beng1280	voll::A	পূর্ণ	purno	p u r n o	purno	PYRNU	PVRNV	review
ben	beng1280	schmutzig::A	নোংরা	noŋra	n o ŋ r a	noNra	NUNRA	NVNRV	validate
ben	beng1280	schwarz::A	কালো	kalo	k a l o	kalo	KALU	KVRV	validate
ben	beng1280	weiß::A	সাদা	ʃad̪a	ʃ a d a	Sada	SATA	SVTV	validate
ben	beng1280	rot::A	লাল	lal	l a l	lal	LAL	RVR	validate
ben	beng1280	gelb::A	হলদে	ɦɔlod̪e	ɦ ɔ l o d e	holode	HULUTE	HVRVTV	validate
ben	beng1280	grün::A	সবুজ	ʃɔbud͡ʒ	ʃ ɔ b u d͡ʒ	Sobuj	SUPYC	SVPVK	validate
ben	beng1280	gut::A	ভালো	bʰalo	bʰ a l o	balo	PALU	PVRV	review
ben	beng1280	schlecht::A	মন্দ	mɔnd̪o	m ɔ n d o	mondo	MUNTU	MVNTV	review
ben	beng1280	richtig::A	ঠিক	ʈʰik	ʈʰ i k	tik	TIK	TVK	validate
ben	beng1280	neu::A	নব	nɔb	n ɔ b	nob	NUP	NVP	review
ben	beng1280	neu::A	নূতন	nut̪ɔn	n u t ɔ n	nuton	NYTUN	NVTVN	review
ben	beng1280	alt[Lebewesen]::A	বৃদ্ধ	brid̪d̪ʰo	b r i d dʰ o	brido	PRITTU	PRVTTV	validate
ben	beng1280	fern::A	দুরবতী	d̪urɔbot̪i	d u r ɔ b o t i	duroboti	TYRUPUTI	TVRVPVTV	review
ben	beng1280	linker::A	বাম	bam	b a m	bam	PAM	PVM	validate
ben	beng1280	rechter::A	ডান	ɖan	ɖ a n	dan	TAN	TVN	review
ben	beng1280	rechter::A	ডাইন	ɖai̯n	ɖ a i n	dain	TAIN	TVN	review
ben	beng1280	anderer::A	অন্যতর	ɔnːot̪ɔr	ɔ n n o t ɔ r	onotor	UNUTUR	VNVTVR	validate
ben	beng1280	hier::ADV	এখানে	ekʰane	e kʰ a n e	ekane	EKANE	VKVNV	validate
ben	beng1280	dort::ADV	ওখানে	okʰane	o kʰ a n e	okane	UKANE	VKVNV	validate
ben	beng1280	nicht::ADV	না	na	n a	na		NV	validate
ben	beng1280	dies::PRN	এটা	eʈa	e ʈ a	eta	ETA	VTV	validate
ben	beng1280	das::PRN	ওটা	oʈa	o ʈ a	ota	UTA	VTV	validate
ben	beng1280	ich::PRN	আমি	ami	a m i	ami	AMI	VMV	validate
ben	beng1280	du::PRN	তুমি	t̪umi	t u m i	tumi	TYMI	TVMV	validate
ben	beng1280	er::PRN	উনি	uni	u n i	uni	YNI	VNV	validate
ben	beng1280	wir::PRN	আমরা	amɔra	a m ɔ r a	amora	AMURA	VMVRV	validate
ben	beng1280	ihr::PRN	তোমরা	t̪omra	t o m r a	tomra	TUMRA	TVMRV	validate
ben	beng1280	sie::PRN	তারা	t̪ara	t a r a	tara	TARA	TVRV	validate
ben	beng1280	was::FPRN	কি	ki	k i	ki	KI	KV	validate
ben	beng1280	wer::FPRN	কে	ke	k e	ke	KE	KV	validate
ben	beng1280	wo::FADV	কোথায়	kot̪ʰae̯	k o tʰ a e	kotae	KUTAE	KVTV	validate
ben	beng1280	wie::FADV	কেমন	kemɔn	k e m ɔ n	kemon	KEMUN	KVMVN	validate
ben	beng1280	eins::NUM	অক	ɔk	ɔ k	ok	UK	VK	validate
ben	beng1280	zwei::NUM	দুই	d̪ui̯	d u i	dui	TYI	TV	validate
ben	beng1280	drei::NUM	তিন	t̪in	t i n	tin	TIN	TVN	validate
ben	beng1280	vier::NUM	চার	t͡ʃar	t͡ʃ a r	Car	CAR	KVR	validate
ben	beng1280	fünf::NUM	পাঁচ	pãt͡ʃɔ	p ã t͡ʃ ɔ	paCo	PACU	PVKV	validate
ben	beng1280	und::CNJ	আর	ar	a r	ar	AR	VR	validate
ben	beng1280	und::CNJ	এবং	ebɔŋ	e b ɔ ŋ	eboN	EPUN	VPVN	validate
ben	beng1280	stehen::V	দাঁড়ানো	d̪ãɽano	d ã ɽ a n o	darano	TARANU	TVRVNV	validate
ben	beng1280	sitzen::V	বসা	bɔʃa	b ɔ ʃ a	boSa	PUSA	PVSV	validate
ben	beng1280	liegen::V	শোয়া	ʃowa	ʃ o w a	Sowa	SUWA	SVWV	review
ben	beng1280	wehen::V	প্রবাহিত হওয়া	prɔbaɦit̪ ɦɔʊ̯wa	p r ɔ b a ɦ i t _ ɦ ɔ ʊ w a	probahithouwa	PRUPAHIT_HUYWA	PRVPVHVT_HVWV	validate
ben	beng1280	fließen::V	ছুটা	t͡ʃʰuʈa	t͡ʃ ʰ u ʈ a	Cuta	CYTA	KVTV	review
ben	beng1280	fallen::V	পড়া	pɔɽa	p ɔ ɽ a	pora	PURA	PVRV	validate
ben	beng1280	brennen::V	সেঁকা	ʃẽka	ʃ ẽ k a	Seka	SEKA	SVKV	review
ben	beng1280	leben::V	বাঁচা	bãt͡ʃa	b ã t͡ʃ a	baCa	PACA	PVKV	validate
ben	beng1280	atmen::V	শ্বাস ফেলা	ʃaʃ p͡fela	ʃ a ʃ _ p͡f e l a	SaSpela	SAS_BELA	SVS_PVRV	review
ben	beng1280	trinken::V	পান করা	pan kɔra	p a n _ k ɔ r a	pankora	PAN_KURA	PVN_KVRV	validate
ben	beng1280	essen::V	ভক্ষণ করা	bʰɔkkʰɔn kɔra	bʰ ɔ k kʰ ɔ n _ k ɔ r a	bokonkora	PUKKUN_KURA	PVKKVN_KVRV	review
ben	beng1280	schlafen::V	নিদ্রা যাওয়া	nid̪ra d͡ʒaʊ̯wa	n i d r a _ d͡ʒ a ʊ w a	nidrajauwa	NITRA_CAYWA	NVTRV_KVWV	validate
ben	beng1280	sterben::V	মারা যাওয়া	mara d͡ʒaʊ̯wa	m a r a _ d͡ʒ a ʊ w a	marajauwa	MARA_CAYWA	MVRV_KVWV	review
ben	beng1280	laufen::V	হাঁটা	ɦãʈa	ɦ ã ʈ a	hata	HATA	HVTV	validate
ben	beng1280	schwimmen::V	সাঁতার কাটা	ʃãt̪ar kaʈa	ʃ ã t a r _ k a ʈ a	Satarkata	SATAR_KATA	SVTVR_KVTV	validate
ben	beng1280	fliegen::V	ওড়া	oɽa	o ɽ a	ora	URA	VRV	validate
ben	beng1280	kommen::V	আসা	aʃa	a ʃ a	aSa	ASA	VSV	validate
ben	beng1280	lachen::V	হাসা	ɦaʃa	ɦ a ʃ a	haSa	HASA	HVSV	validate
ben	beng1280	fürchten::V	ডরা	ɖɔra	ɖ ɔ r a	dora	TURA	TVRV	validate
ben	beng1280	sehen::V	দেখা	d̪ekʰa	d e kʰ a	deka	TEKA	TVKV	validate
ben	beng1280	hören::V	শোনা	ʃona	ʃ o n a	Sona	SUNA	SVNV	validate
ben	beng1280	frieren::V	শীত লাগা	ʃit̪ laɡa	ʃ i t _ l a ɡ a	Sitlaga	SIT_LAKA	SVT_RVKV	review
ben	beng1280	graben::V	খনন করা	kʰɔnon kɔra	kʰ ɔ n o n _ k ɔ r a	kononkora	KUNUN_KURA	KVNVN_KVRV	validate
ben	beng1280	wenden::V	উলটাইয়া দেত্তয়া	ulɔʈai̯ja d̪et̪ːja	u l ɔ ʈ a i j a _ d e t t j a	ulotaiyadetya	YLUTAIJA_TETJA	VRVTVJV_TVTJV	review
ben	beng1280	halten::V	ধরা	d̪ʰɔra	dʰ ɔ r a	dora	TURA	TVRV	review
ben	beng1280	kratzen::V	চাঁচা	t͡ʃãt͡ʃa	t͡ʃ ã t͡ʃ a	CaCa	CACA	KVKV	review
ben	beng1280	beißen::V	দংশন করা	d̪ɔŋʃɔn kɔra	d ɔ ŋ ʃ ɔ n _ k ɔ r a	doNSonkora	TUNSUN_KURA	TVNSVN_KVRV	review
ben	beng1280	binden::V	বন্ধন করা	bɔnd̪ʰon kɔra	b ɔ n dʰ o n _ k ɔ r a	bondonkora	PUNTUN_KURA	PVNTVN_KVRV	validate
ben	beng1280	hauen::V	আঘাত করা	aɡʰat̪ kɔra	a ɡʰ a t _ k ɔ r a	agatkora	AKAT_KURA	VKVT_KVRV	review
ben	beng1280	reiben::V	ঘষা	ɡʰɔʃa	ɡʰ ɔ ʃ a	goSa	KUSA	KVSV	validate
ben	beng1280	schneiden::V	কাটা	kaʈa	k a ʈ a	kata	KATA	KVTV	validate
ben	beng1280	ziehen::V	টানা	ʈana	ʈ a n a	tana	TANA	TVNV	validate
ben	beng1280	werfen::V	ছুড়া	t͡ʃʰuɽa	t͡ʃ ʰ u ɽ a	Cura	CYRA	KVRV	validate
ben	beng1280	teilen::V	বিভক্ত করা	bibʰɔkt̪o kɔra	b i bʰ ɔ k t o _ k ɔ r a	biboktokora	PIPUKTU_KURA	PVPVKTV_KVRV	review
ben	beng1280	geben::V	দেওয়া	d̪eowa	d e o w a	deowa	TEUWA	TVWV	validate
ben	beng1280	spielen::V	খেলা	kʰæla	kʰ æ l a	kEla	KELA	KVRV	validate
ben	beng1280	singen::V	গাওয়া	ɡaʊ̯wa	ɡ a ʊ w a	gauwa	KAYWA	KVWV	validate
ben	beng1280	stechen::V	দংশন করা	d̪ɔŋʃɔn kɔra	d ɔ ŋ ʃ ɔ n _ k ɔ r a	doNSonkora	TUNSUN_KURA	TVNSVN_KVRV	review
ben	beng1280	stoßen::V	ঠেলা	ʈʰela	ʈʰ e l a	tela	TELA	TVRV	validate
ben	beng1280	töten::V	হত্যা করা	ɦɔt̪ːæ kɔra	ɦ ɔ t t æ _ k ɔ r a	hotEkora	HUTE_KURA	HVTV_KVRV	validate
ben	beng1280	jagen::V	শিকার করা	ʃikar kɔra	ʃ i k a r _ k ɔ r a	Sikarkora	SIKAR_KURA	SVKVR_KVRV	review
ben	beng1280	nähen::V	সেলাই করা	ʃelai̯ kɔra	ʃ e l a i _ k ɔ r a	Selaikora	SELAI_KURA	SVRV_KVRV	validate
ben	beng1280	waschen::V	পরিষ্কার করা	pɔriʃkar kɔra	p ɔ r i ʃ k a r _ k ɔ r a	poriSkarkora	PURISKAR_KURA	PVRVSKVR_KVRV	review
ben	beng1280	abwischen::V	মুছা	mut͡ʃʰa	m u t͡ʃ ʰ a	muCa	MYCA	MVKV	validate
ben	beng1280	sagen::V	উচ্চারণ করা	utt͡ʃarɔn kɔra	u t t͡ʃ a r ɔ n _ k ɔ r a	utCaronkora	YTCARUN_KURA	VTKVRVN_KVRV	review
ben	beng1280	denken::V	ভাবা	bʰaba	bʰ a b a	baba	PAPA	PVPV	validate
ben	beng1280	wissen::V	জানা	d͡ʒana	d͡ʒ a n a	jana	CANA	KVNV	validate
ben	beng1280	zählen::V	গণনা করা	ɡɔnona kɔra	ɡ ɔ n o n a _ k ɔ r a	gononakora	KUNUNA_KURA	KVNVNV_KVRV	validate
hin	hind1269	Auge::N	आँख	ãːkʰ	ã ã kʰ	ak	AK	VK	validate
hin	hind1269	Auge::N	चक्षु	t͡ʃəkʂʊ	t͡ʃ ə k ʂ ʊ	C3kSu	CEKSY	KVKSV	validate
hin	hind1269	Ohr::N	कान	kaːn	k a a n	kan	KAN	KVN	validate
hin	hind1269	Ohr::N	कर्ण	kərɳ	k ə r ɳ	k3rn	KERN	KVRN	validate
hin	hind1269	Nase::N	नाक	naːk	n a a k	nak	NAK	NVK	validate
hin	hind1269	Nase::N	नासा	naːsaː	n a a s a a	nasa	NASA	NVSV	validate
hin	hind1269	Mund::N	मुख	mʊkʰ	m ʊ kʰ	muk	MYK	MVK	validate
hin	hind1269	Mund::N	मुँह	mũh	m ũ h	muh	MYH	MVH	validate
hin	hind1269	Zahn::N	दंत	dənt	d ə n t	d3nt	TENT	TVNT	validate
hin	hind1269	Zahn::N	दाँत	dãːt	d ã ã t	dat	TAT	TVT	validate
hin	hind1269	Zunge::N	जीभ	d͡ʒiːbʰ	d͡ʒ i i bʰ	jib	CIP	KVP	validate
hin	hind1269	Zunge::N	ज़बान	zəbaːn	z ə b a a n	z3ban	SEPAN	SVPVN	validate
hin	hind1269	Zunge::N	जिह्वा	d͡ʒɪhvaː	d͡ʒ ɪ h v a a	jihva	CIHBA	KVHWV	validate
hin	hind1269	Haar::N	बाल	baːl	b a a l	bal	PAL	PVR	validate
hin	hind1269	Hals::N	गला	ɡəlaː	ɡ ə l a a	g3la	KELA	KVRV	validate
hin	hind1269	Hals::N	गरदन	ɡərdən	ɡ ə r d ə n	g3rd3n	KERTEN	KVRTVN	validate
hin	hind1269	Kopf::N	सिर	sɪr	s ɪ r	sir	SIR	SVR	validate
hin	hind1269	Kopf::N	शीर्ष	ɕiːrʂ	ɕ i i r ʂ	SirS	SIRS	SVRS	validate
hin	hind1269	Rücken::N	पीठ	piːʈʰ	p i i ʈʰ	pit	PIT	PVT	validate
hin	hind1269	Bauch::N	उदर	ʊdər	ʊ d ə r	ud3r	YTER	VTVR	validate
hin	hind1269	Brust::N	वक्ष	vəkʂ	v ə k ʂ	v3kS	BEKS	WVKS	validate
hin	hind1269	Hand::N	हाथ	haːtʰ	h a a tʰ	hat	HAT	HVT	validate
hin	hind1269	Hand::N	हस्त	həst	h ə s t	h3st	HEST	HVST	validate
hin	hind1269	Nagel[Anatomie]::N	नख	nəkʰ	n ə kʰ	n3k	NEK	NVK	validate
hin	hind1269	Nagel[Anatomie]::N	नाख़ून	naːxuːn	n a a x u u n	naxun	NAGYN	NVKVN	validate
hin	hind1269	Fuß::N	चरण	t͡ʃərəɳ	t͡ʃ ə r ə ɳ	C3r3n	CEREN	KVRVN	validate
hin	hind1269	Fuß::N	पाँव	pãːv	p ã ã v	pav	PAB	PVW	validate
hin	hind1269	Knie::N	जानु	d͡ʒaːnʊ	d͡ʒ a a n ʊ	janu	CANY	KVNV	validate
hin	hind1269	Knie::N	घुटना	ɡʰʊʈnaː	ɡʰ ʊ ʈ n a a	gutna	KYTNA	KVTNV	validate
hin	hind1269	Bein::N	टाँग	ʈãːɡ	ʈ ã ã ɡ	tag	TAK	TVK	validate
hin	hind1269	Haut::N	चर्म	t͡ʃərm	t͡ʃ ə r m	C3rm	CERM	KVRM	validate
hin	hind1269	Haut::N	त्वचा	tvət͡ʃaː	t v ə t͡ʃ a a	tv3Ca	TBECA	TWVKV	validate
hin	hind1269	Blut::N	लहू	ləhuː	l ə h u u	l3hu	LEHY	RVHV	validate
hin	hind1269	Blut::N	ख़ून	xuːn	x u u n	xun	GYN	KVN	validate
hin	hind1269	Knochen::N	अस्थि	əstʰɪ	ə s tʰ ɪ	3sti	ESTI	VSTV	validate
hin	hind1269	Herz::N	दिल	dɪl	d ɪ l	dil	TIL	TVR	validate
hin	hind1269	Herz::N	हृदय	hr̥dəj	h r d ə j	hrd3y	HRTEJ	HRTVJ	validate
hin	hind1269	Leber::N	जिगर	d͡ʒɪɡər	d͡ʒ ɪ ɡ ə r	jig3r	CIKER	KVKVR	validate
hin	hind1269	Leber::N	यकृत्	jəkɽt	j ə k ɽ t	y3krt	JEKRT	JVKRT	validate
hin	hind1269	Himmel::N	आकाश	aːkaːɕ	a a k a a ɕ	akaS	AKAS	VKVS	validate
hin	hind1269	Himmel::N	आसमान	aːsmaːn	a a s m a a n	asman	ASMAN	VSMVN	validate
hin	hind1269	Sonne::N	रवि	rəvɪ	r ə v ɪ	r3vi	REBI	RVWV	validate
hin	hind1269	Sonne::N	सूरज	suːrəd͡ʒ	s u u r ə d͡ʒ	sur3j	SYREC	SVRVK	validate
hin	hind1269	Sonne::N	सूर्य	suːrj	s u u r j	sury	SYRJ	SVRJ	validate
hin	hind1269	Mond::N	चाँद	t͡ʃãːd	t͡ʃ ã ã d	Cad	CAT	KVT	validate
hin	hind1269	Mond::N	चंद्र	t͡ʃəndr	t͡ʃ ə n d r	C3ndr	CENTR	KVNTR	validate
hin	hind1269	Stern::N	तारा	taːraː	t a a r a a	tara	TARA	TVRV	validate
hin	hind1269	Stern::N	सितारा	sɪtaːraː	s ɪ t a a r a a	sitara	SITARA	SVTVRV	validate
hin	hind1269	Wind::N	पाद	paːd	p a a d	pad	PAT	PVT	validate
