iso,glottocode,language_name,glotto_level,macroarea,latitude,longitude,dist2ocean,dist2lakes,dist2rivers,dist2water,climate_PC1,climate_PC2,log_popSize,altitude,longitude_original,family_code,family
bde,bade1248,Bade,language,Africa,12.789,10.6557,907669,40736,40784,40736,-1.371,4.278,12.429,343,10.6557,afro1255,Afro-Asiatic
abv,baha1259,Baharna Arabic,language,Eurasia,26.223615,50.580811,21359,3443,126780,3443,-2.055,3.263,12.612,1,50.580811,afro1255,Afro-Asiatic
bsw,bais1246,Baiso,language,Africa,6.44892,37.7681,758749,2731,101074,2731,-0.507,1.762,8.609,1307,37.7681,afro1255,Afro-Asiatic
bdn,bald1241,Baldemu,language,Africa,10.9078,14.4674,931411,39678,8369,8369,-0.217,4.05,1.386,343,14.4674,afro1255,Afro-Asiatic
bcw,bana1305,Bana,language,Africa,10.3535,13.6131,823760,54533,51749,51749,-0.396,2.239,10.043,836,13.6131,afro1255,Afro-Asiatic
bva,bare1279,Barain,language,Africa,11.1168,18.0764,1232184,154068,104691,104691,-0.269,4.119,8.319,393,18.0764,afro1255,Afro-Asiatic
bjf,barz1241,Barzani Jewish Neo-Aramaic,language,Eurasia,31.7696,35.1536,41728,3736,49970,3736,-3.274,0.993,2.996,830,35.1536,afro1255,Afro-Asiatic
bta,bata1314,Bata,language,Africa,9.68091,12.677,701522,38210,46157,38210,0.122,3.215,11.918,230,12.677,afro1255,Afro-Asiatic
bhm,bath1244,Bathari,language,Eurasia,17.4485,53.119,57028,110055,150278,57028,-2.125,2.784,5.298,610,53.119,afro1255,Afro-Asiatic
bxq,beel1236,Beele,language,Africa,10.1609,10.4204,626493,52448,22835,22835,-0.581,3.14,4.787,451,10.4204,afro1255,Afro-Asiatic
bej,beja1238,Beja,language,Africa,17.2436,36.6666,164931,209599,225189,164931,-0.937,5.014,13.765,402,36.6666,afro1255,Afro-Asiatic
bid,bidi1241,Bidiyo,language,Africa,11.9204,18.8065,1350316,151027,115340,115340,-0.477,4.111,9.547,558,18.8065,afro1255,Afro-Asiatic
byn,bili1260,Bilin,language,Africa,15.7833,38.3917,78796,17851,4594,4594,-1.697,2.652,11.419,1413,38.3917,afro1255,Afro-Asiatic
btf,birg1239,Birgit,language,Africa,12.0228,19.8182,1443208,124324,35949,35949,-0.484,4.491,9.25,446,19.8182,afro1255,Afro-Asiatic
bvw,boga1251,Boga,language,Africa,10.188,12.936,763425,56604,95570,56604,-0.703,2.757,9.21,669,12.936,afro1255,Afro-Asiatic
bux,bogh1241,Boghom,language,Africa,9.49679,10.11454,545746,50222,50784,50222,-0.273,2.875,10.82,423,10.11454,afro1255,Afro-Asiatic
bhn,boht1238,Bohtan Neo-Aramaic,language,Eurasia,43.6405,44.482,183090,14369,6417,6417,-5.37,-1.207,6.908,215,44.482,afro1255,Afro-Asiatic
bnl,boon1242,Boon,language,Africa,0.41988,43.1208,14596,22132,37775,14596,0.175,2.368,4.078,36,43.1208,afro1255,Afro-Asiatic
bvf,boor1242,Boor,language,Africa,10.0904,17.5648,1117798,138663,3058,3058,-0.167,3.892,4.605,352,17.5648,afro1255,Afro-Asiatic
gax,bora1271,Borana-Arsi-Guji Oromo,language,Africa,1.05676,37.882,480410,80285,80285,80285,-0.822,2.819,15.105,733,37.882,afro1255,Afro-Asiatic
bdm,budu1265,Buduma,language,Africa,13.0692,14.4492,1119099,5093,15819,5093,-1.379,4.556,10.851,280,14.4492,afro1255,Afro-Asiatic
bwr,bura1292,Bura-Pabir,language,Africa,10.4822,12.3007,752005,11495,70412,11495,-0.905,2.893,12.429,644,12.3007,afro1255,Afro-Asiatic
bvh,bure1242,Bure,language,Africa,10.4603,10.4554,658413,51095,2354,2354,-0.679,3.258,3.912,415,10.4554,afro1255,Afro-Asiatic
bji,burj1242,Burji,language,Africa,4.44624,38.4646,673880,33754,188498,33754,-1.826,1.05,10.745,1426,38.4646,afro1255,Afro-Asiatic
bds,buru1320,Burunge,language,Africa,-5.21369,35.963,313629,42996,88217,42996,-1.594,1.249,9.473,1449,35.963,afro1255,Afro-Asiatic
dox,buss1239,Bussa,language,Africa,5.74987,37.2017,857878,34134,13730,13730,-0.231,1.483,9.888,988,37.2017,afro1255,Afro-Asiatic
bhs,buwa1243,Buwal,language,Africa,10.6151,13.8838,864986,25530,17303,17303,-0.167,2.8,8.854,614,13.8838,afro1255,Afro-Asiatic
cky,cakf1236,Cakfem-Mushere-Jibyal,language,Africa,9.00924,9.16071,460488,36133,41119,36133,0.442,1.843,8.517,721,9.16071,afro1255,Afro-Asiatic
tzm,cent2194,Central Moroccan Berber,language,Africa,32.7415,-2.40872,238436,15954,206517,15954,-4.386,1.251,14.666,1391,-2.40872,afro1255,Afro-Asiatic
shu,chad1249,Chadian Arabic,language,Africa,14.67,13.5,1222773,116160,149236,116160,-1.79,5.009,13.706,314,13.5,afro1255,Afro-Asiatic
cld,chal1275,Chaldean Neo-Aramaic,language,Eurasia,37.0972,43.5027,486640,44852,30422,30422,-5.055,0.087,11.513,1174,43.5027,afro1255,Afro-Asiatic
cnu,chen1266,Western Algerian Berber,language,Africa,36.5917,2.19899,7460,12926,41726,7460,-2.68,0.702,11.242,0,2.19899,afro1255,Afro-Asiatic
ckl,ciba1236,Cibak,language,Africa,10.8977,12.902,825790,75156,127514,75156,-0.892,3.164,11.513,454,12.902,afro1255,Afro-Asiatic
cie,cine1238,Cineni,language,Africa,11.1319,13.8187,904954,34868,36931,34868,-0.721,3.264,8.006,408,13.8187,afro1255,Afro-Asiatic
tgd,ciwo1236,Ciwogai,language,Africa,10.8881,9.88558,681964,44328,68650,44328,-0.77,3.221,7.601,544,9.88558,afro1255,Afro-Asiatic
syc,clas1252,Classical Syriac,language,Eurasia,37.1129,42.1432,451062,2474,17808,2474,-3.865,2.081,0,556,42.1432,afro1255,Afro-Asiatic
myz,clas1253,Classical Mandaic,language,Eurasia,36.1203,49.5659,120379,29170,70492,29170,-5.79,0.584,0,1759,49.5659,afro1255,Afro-Asiatic
cop,copt1239,Coptic,language,Africa,29.472,31.2053,119895,16520,3156,3156,-3.442,2.864,0,38,31.2053,afro1255,Afro-Asiatic
cuv,cuvo1236,Cuvok,language,Africa,10.6448,14.0006,875796,31301,4230,4230,-0.032,3.12,8.517,610,14.0006,afro1255,Afro-Asiatic
acy,cypr1248,Cypriot Arabic,language,Eurasia,35.1674,33.0943,9220,1755,100062,1755,-3.486,1.57,7.17,163,33.0943,afro1255,Afro-Asiatic
dsh,daas1238,Daasanach,language,Africa,4.58879,35.9888,905924,3037,3037,3037,0.511,3.363,10.779,372,35.9888,afro1255,Afro-Asiatic
dbr,daba1260,Dabarre,language,Africa,1.2179,43.3304,52077,18733,89682,18733,0.308,2.675,10.043,41,43.3304,afro1255,Afro-Asiatic
dal,daha1245,Dahalo,language,Africa,-2.1843,40.37,31514,17501,20746,17501,0.819,1.832,5.991,27,40.37,afro1255,Afro-Asiatic
dlk,daha1247,Dahalik,language,Africa,15.732898,40.081897,19442,49124,181591,19442,-0.371,3.679,7.824,3,40.081897,afro1255,Afro-Asiatic
daa,dang1274,Dangaleat,language,Africa,12.1517,18.385,1332725,98678,115260,98678,-0.483,4.401,11.002,431,18.385,afro1255,Afro-Asiatic
dot,dass1243,Dass,language,Africa,9.9325,9.51838,569270,56800,5548,5548,-0.386,2.708,9.086,658,9.51838,afro1255,Afro-Asiatic
dbb,deno1239,Deno,language,Africa,10.63147,10.43937,675224,55949,18089,18089,-0.712,3.38,8.7,367,10.43937,afro1255,Afro-Asiatic
kna,dera1248,Dera (Nigeria),language,Africa,10.072,12.0256,697614,17048,52095,17048,-0.431,3.443,9.903,203,12.0256,afro1255,Afro-Asiatic
dgh,dghw1239,Dghwede,language,Africa,11.05751,13.77847,895755,26321,38718,26321,-0.725,3.116,10.309,493,13.77847,afro1255,Afro-Asiatic
adf,dhof1235,Dhofari Arabic,language,Eurasia,17.0796,54.4894,20029,90254,2726,2726,-1.208,2.82,11.156,164,54.4894,afro1255,Afro-Asiatic
gdl,dira1242,Dirasha,language,Africa,5.60452,37.4026,847143,17457,17768,17457,-0.736,0.153,11.087,1531,37.4026,afro1255,Afro-Asiatic
dwa,diri1259,Diri,language,Africa,11.1701,9.32363,697797,42094,115803,42094,-0.753,3.337,8.882,500,9.32363,afro1255,Afro-Asiatic
dme,dugw1239,Dugwor,language,Africa,10.752,14.2134,900048,48466,2255,2255,-0.005,3.392,8.517,625,14.2134,afro1255,Afro-Asiatic
kbz,duhw1236,Duhwa,language,Africa,9.32586,8.77995,486692,1616,32069,1616,-0.212,0.56,6.685,1337,8.77995,afro1255,Afro-Asiatic
dbp,duwa1244,Duwai,language,Africa,12.803,11.3367,934590,17189,60982,17189,-1.485,4.261,9.341,336,11.3367,afro1255,Afro-Asiatic
hae,east2652,Eastern Oromo,language,Africa,8.67428,41.4395,319574,85449,300432,85449,-1.013,1.037,15.326,1376,41.4395,afro1255,Afro-Asiatic
avl,east2690,Eastern Egyptian Bedawi Arabic,language,Africa,29.6742,33.6113,80412,104785,104785,80412,-3.803,1.313,13.665,533,33.6113,afro1255,Afro-Asiatic
arz,egyp1253,Egyptian Arabic,language,Africa,31,31,41212,16350,16903,16350,-3.565,2.009,17.776,4,31,afro1255,Afro-Asiatic
elo,elmo1238,El Molo,language,Africa,2.79312,36.7619,706434,5806,126381,5806,-0.316,3.275,2.079,508,36.7619,afro1255,Afro-Asiatic
fli,fali1285,Fali,language,Africa,10.5419,13.4087,825905,50539,69031,50539,-0.408,2.443,10.127,848,13.4087,afro1255,Afro-Asiatic
fie,fyer1241,Fyer,language,Africa,9.49936,9.29503,516662,27083,40190,27083,-0.322,1.161,10.17,1097,9.29503,afro1255,Afro-Asiatic
gqa,gaan1243,Ga'anda,language,Africa,10.2955,12.6479,754906,22901,107953,22901,-0.612,3.154,10.669,457,12.6479,afro1255,Afro-Asiatic
gab,gabr1253,Gabri,language,Africa,9.33955,16.623,985278,74046,23173,23173,-0.13,3.659,10.446,359,16.623,afro1255,Afro-Asiatic
gdk,gada1262,Gadang,language,Africa,10.425,16.997,1092604,189938,13843,13843,-0.27,3.995,7.824,339,16.997,afro1255,Afro-Asiatic
glo,gala1264,Galambu,language,Africa,10.1258,10.2542,615779,39901,12537,12537,-0.535,3.14,10.127,444,10.2542,afro1255,Afro-Asiatic
gex,garr1259,Garre,language,Africa,2.29633,44.6862,55025,73382,278418,55025,0.485,2.9,10.96,80,44.6862,afro1255,Afro-Asiatic
gou,gava1241,Gavar,language,Africa,10.5603,13.8188,855763,29067,24133,24133,-0.15,2.751,8.854,597,13.8188,afro1255,Afro-Asiatic
gwd,gaww1239,Ale-Gawwada,language,Africa,5.37869,37.2737,841195,45970,28356,28356,-0.701,0.973,11.136,1532,37.2737,afro1255,Afro-Asiatic
drs,gede1246,Gedeo,language,Africa,6.18469,38.2395,745156,28105,125882,28105,-1.129,-0.534,13.79,1989,38.2395,afro1255,Afro-Asiatic
gez,geez1241,Geez,language,Africa,10.1342,40.6821,243462,10818,238764,10818,-1.201,2.377,0,798,40.6821,afro1255,Afro-Asiatic
gji,geji1246,Geji,language,Africa,10.3478,9.64965,617384,31252,18267,18267,-0.586,2.907,8.7,625,9.64965,afro1255,Afro-Asiatic
gew,gera1246,Gera,language,Africa,10.4331,10.12,642169,14806,16368,14806,-0.726,3.102,12.206,536,10.12,afro1255,Afro-Asiatic
gea,geru1240,Geruma,language,Africa,10.4775,9.78484,635289,13519,30767,13519,-0.665,3.028,9.108,592,9.78484,afro1255,Afro-Asiatic
gha,ghad1239,Ghadames,language,Africa,30.1168,10.0165,368958,17686,318891,17686,-3.843,2.991,9.21,318,10.0165,afro1255,Afro-Asiatic
gho,ghom1257,Ghomara,language,Africa,34.7979,-4.6696,16574,17510,18735,16574,-4.045,0.059,9.21,1236,-4.6696,afro1255,Afro-Asiatic
gid,gida1247,Gidar,language,Africa,9.874715,14.07845,819291,22525,65837,22525,0.222,3.182,10.897,369,14.07845,afro1255,Afro-Asiatic
kks,giiw1236,Giiwo,language,Africa,10.35754,10.46037,648178,50932,3704,3704,-0.687,3.185,9.547,442,10.46037,afro1255,Afro-Asiatic
glw,glav1244,Glavda,language,Africa,11.1334,13.8652,908196,36070,32439,32439,-0.467,3.67,10.258,419,13.8652,afro1255,Afro-Asiatic
ank,goem1240,Goemai,language,Africa,8.74455,9.72453,452382,3914,51496,3914,0.541,2.724,12.206,172,9.72453,afro1255,Afro-Asiatic
gow,goro1270,Gorowa,language,Africa,-4.23575,35.7996,361635,8883,30515,8883,-1.59,0.249,10.82,1453,35.7996,afro1255,Afro-Asiatic
gde,gude1246,Gude,language,Africa,10.2138,13.403,797167,78440,79285,78440,-0.338,2.316,11.127,828,13.403,afro1255,Afro-Asiatic
gdu,gudu1250,Gudu,language,Africa,10.1206,12.5359,732006,29973,88392,29973,-0.631,2.979,8.517,524,12.5359,afro1255,Afro-Asiatic
gdf,gudu1252,Guduf-Gava,language,Africa,11.1057,13.7893,900698,31685,38881,31685,-0.721,3.264,10.931,460,13.7893,afro1255,Afro-Asiatic
afb,gulf1241,Gulf Arabic,language,Eurasia,30.17,47.5,43509,47428,33502,33502,-3.287,4.133,10.597,48,47.5,afro1255,Afro-Asiatic
grd,guru1271,Guruntum-Mbaaru,language,Africa,9.87332,10.162,586108,58936,19682,19682,-0.543,2.829,9.616,550,10.162,afro1255,Afro-Asiatic
ngs,gvok1239,Gvoko,language,Africa,10.9918,13.7537,888353,19199,40816,19199,-0.77,2.945,9.903,603,13.7537,afro1255,Afro-Asiatic
gwn,gwan1268,Gwandara,language,Africa,9.20464,7.49931,458035,6817,103066,6817,0.515,1.557,10.215,687,7.49931,afro1255,Afro-Asiatic
hdy,hadi1240,Hadiyya,language,Africa,7.57377,37.7577,671820,29413,53283,29413,-1.581,-0.256,14.039,2123,37.7577,afro1255,Afro-Asiatic
ayh,hadr1236,Hadrami Arabic,language,Eurasia,15.4468,48.6524,99871,101913,115989,99871,-2.34,1.554,12.612,1036,48.6524,afro1255,Afro-Asiatic
har,hara1271,Harari,language,Africa,9.30485,42.1332,223577,13362,208833,13362,-1.499,0.133,10.158,1812,42.1332,afro1255,Afro-Asiatic
hss,hars1241,Harsusi,language,Eurasia,19.6511,56.1562,120917,123249,337420,120917,-1.492,3.367,6.397,150,56.1562,afro1255,Afro-Asiatic
mey,hass1238,Hassaniyya,language,Africa,20.1464,-2.40278,1277813,370860,353309,353309,-1.975,5.592,14.834,304,-2.40278,afro1255,Afro-Asiatic
hau,haus1257,Hausa,language,Africa,11.1513,8.7804,687096,30054,138472,30054,-0.67,3.004,16.733,595,8.7804,afro1255,Afro-Asiatic
xed,hdii1240,Hdi,language,Africa,10.942,13.6881,879606,16577,48350,16577,-0.89,2.752,10.127,721,13.6881,afro1255,Afro-Asiatic
heb,hebr1245,Modern Hebrew,language,Eurasia,31.1056,35.0179,53897,9470,18299,9470,-3.523,1.522,15.394,459,35.0179,afro1255,Afro-Asiatic
hed,herd1236,Herde,language,Africa,9.14343,14.9267,829113,90412,123114,90412,0.229,3.038,10.597,401,14.9267,afro1255,Afro-Asiatic
hrt,hert1241,Hertevin,language,Eurasia,37.373,42.5192,438386,11850,18872,11850,-4.697,0.318,6.908,1115,42.5192,afro1255,Afro-Asiatic
acw,hija1235,Hijazi Arabic,language,Eurasia,22.8346,38.9237,18745,39807,57986,18745,-1.455,4.637,15.607,0,38.9237,afro1255,Afro-Asiatic
hoh,hoby1242,Hobyót,language,Eurasia,17.216,52.8334,49614,76619,120458,49614,-2.052,2.481,4.605,713,52.8334,afro1255,Afro-Asiatic
hod,holm1250,Holma,language,Africa,9.96843,13.19949,762036,72492,72492,72492,-0.131,2.642,0,618,13.19949,afro1255,Afro-Asiatic
hbb,huba1236,Huba,language,Africa,10.3544,13.139,791482,74737,101050,74737,-0.573,3.017,12.073,531,13.139,afro1255,Afro-Asiatic
huy,hula1244,Hulaulá,language,Eurasia,31.9111,43.4865,458390,70681,85361,70681,-3.873,3.544,9.21,197,43.4865,afro1255,Afro-Asiatic
hwo,hwan1240,Hwana,language,Africa,10.3633,12.7683,768530,34136,117235,34136,-0.668,3.051,10.373,480,12.7683,afro1255,Afro-Asiatic
hya,hyaa1239,Hya,language,Africa,10.4814,13.526,828627,46312,56782,46312,-0.52,2.083,6.846,784,13.526,afro1255,Afro-Asiatic
ior,inor1238,Inor,language,Africa,7.94883,37.7968,641153,36213,41607,36213,-1.474,0.025,12.543,2089,37.7968,afro1255,Afro-Asiatic
irk,iraq1241,Iraqw,language,Africa,-4.19948,35.2939,414826,8623,43592,8623,-1.816,-0.16,13.043,1847,35.2939,afro1255,Afro-Asiatic
jaf,jara1274,Jara,language,Africa,10.5232,11.7036,724961,14209,16359,14209,-0.84,3.223,10.743,352,11.7036,afro1255,Afro-Asiatic
tmr,jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),language,Eurasia,32.273,44.245,411721,30736,9583,9583,-3.726,3.823,0,46,44.245,afro1255,Afro-Asiatic
jii,jiid1238,Jiiddu,language,Africa,1.84353,44.1294,52814,49196,201685,49196,0.453,2.578,10.043,65,44.1294,afro1255,Afro-Asiatic
jie,jilb1238,Jilbe,language,Africa,11.7992,14.5794,1014329,25318,38963,25318,-0.773,4.188,4.605,295,14.5794,afro1255,Afro-Asiatic
jim,jimi1254,Jimi (Cameroon),language,Africa,10.251,13.5258,808928,68575,65561,65561,-0.285,2.437,8.161,760,13.5258,afro1255,Afro-Asiatic
jmi,jimi1255,Jimi (Nigeria),language,Africa,10.7299,9.8118,662901,30823,58790,30823,-0.704,3.162,6.908,541,9.8118,afro1255,Afro-Asiatic
jia,jina1244,Jina,language,Africa,11.3555,14.9611,1004343,5007,16960,5007,-0.554,4.286,7.313,306,14.9611,afro1255,Afro-Asiatic
jeu,jonk1238,Jonkor Bourmataguil,language,Africa,11.5034,19.0954,1345737,141046,82151,82151,-0.454,3.98,7.313,513,19.0954,afro1255,Afro-Asiatic
ajt,jude1263,Judeo-Tunisian Arabic,language,Eurasia,31.75,35.25,49202,10932,58122,10932,-3.282,1.638,10.714,635,35.25,afro1255,Afro-Asiatic
yud,jude1264,Judeo-Tripolitanian Arabic,language,Eurasia,31.9567,34.7422,19585,6013,15439,6013,-2.444,1.442,10.309,15,34.7422,afro1255,Afro-Asiatic
aju,jude1265,Judeo-Moroccan Arabic,language,Africa,33.5,-7.5,14618,7823,64101,7823,-3.118,0.818,12.429,136,-7.5,afro1255,Afro-Asiatic
yhd,jude1266,Judeo-Iraqi Arabic,language,Eurasia,31.5339,41.2595,588810,122690,273232,122690,-4.074,2.954,11.513,519,41.2595,afro1255,Afro-Asiatic
jye,jude1267,Judeo-Yemeni Arabic,language,Eurasia,15,45,181702,50516,385156,50516,-2.842,1.934,10.82,1585,45,afro1255,Afro-Asiatic
juu,juuu1243,Ju,language,Africa,10.1845,9.81175,605210,29575,7590,7590,-0.648,2.801,6.802,651,9.81175,afro1255,Afro-Asiatic
kvf,kaba1292,Kabalai,language,Africa,9.38373,16.2821,958706,84387,5697,5697,0.254,3.341,9.793,357,16.2821,afro1255,Afro-Asiatic
kab,kaby1243,Kabyle,language,Africa,36.4103,4.76137,29420,3780,57953,3780,-3.507,0.031,15.425,602,4.76137,afro1255,Afro-Asiatic
ckq,kaja1254,Kajakse,language,Africa,12.2492,20.879,1550896,122999,111654,111654,-0.69,4.269,9.21,567,20.879,afro1255,Afro-Asiatic
ktb,kamb1316,Kambaata,language,Africa,7.37582,37.9088,674920,18116,80672,18116,-1.52,-0.317,13.329,2195,37.9088,afro1255,Afro-Asiatic
hig,kamw1239,Kamwe,language,Africa,10.646,13.5136,842044,34491,57515,34491,-0.404,2.412,12.612,632,13.5136,afro1255,Afro-Asiatic
kai,kare1348,Karekare,language,Africa,12.5176,10.8732,886953,11779,3094,3094,-1.383,4.116,11.918,346,10.8732,afro1255,Afro-Asiatic
kil,kari1316,Kariya,language,Africa,11.0119,9.63992,688124,29139,89901,29139,-0.7,3.418,7.601,472,9.63992,afro1255,Afro-Asiatic
ker,kera1255,Kera,language,Africa,9.88165,15.1419,903713,7860,48808,7860,0.26,3.455,10.703,337,15.1419,afro1255,Afro-Asiatic
ktc,khol1240,Kholok,language,Africa,9.33645,10.9671,571808,27974,21792,21792,-0.202,3.182,7.824,318,10.9671,afro1255,Afro-Asiatic
kqp,kimr1241,Kimre,language,Africa,9.42071,16.9423,1018781,79232,57067,57067,0.231,3.419,9.903,351,16.9423,afro1255,Afro-Asiatic
kkr,kirb1236,Kir-Balar,language,Africa,10.1456,9.77003,599723,35842,6364,6364,-0.531,2.905,8.023,643,9.77003,afro1255,Afro-Asiatic
fkk,kiry1234,Kirya-Konzel,language,Africa,10.48,13.36,817227,58976,74824,58976,-0.258,2.652,8.666,623,13.36,afro1255,Afro-Asiatic
gru,kist1241,Kistane,language,Africa,8.33561,38.4763,556537,37660,125138,37660,-2.05,-1.538,12.449,2541,38.4763,afro1255,Afro-Asiatic
kcs,koen1239,Koenoem,language,Africa,9.01129,9.46622,470077,17057,65344,17057,0.516,2.406,8.006,295,9.46622,afro1255,Afro-Asiatic
kwl,kofy1242,Pan,language,Africa,8.79947,9.15279,437808,16842,32966,16842,0.802,2.467,11.608,227,9.15279,afro1255,Afro-Asiatic
kxc,kons1243,Konso,language,Africa,5.39111,37.53,820806,36600,41433,36600,-0.59,1.72,12.397,1088,37.53,afro1255,Afro-Asiatic
kqd,koys1242,Koy Sanjaq Surat,language,Eurasia,36.0451,44.6365,428545,18090,32415,18090,-3.647,2.398,6.685,527,44.6365,afro1255,Afro-Asiatic
kof,kubi1239,Kubi,language,Africa,10.6274,10.2746,668207,40981,19353,19353,-0.771,3.178,0,495,10.2746,afro1255,Afro-Asiatic
kul,kule1247,Kulere,language,Africa,9.18,8.85,471952,16072,42265,16072,-0.192,0.671,9.655,1236,8.85,afro1255,Afro-Asiatic
kuh,kush1236,Kushi,language,Africa,9.40731,10.9396,577738,35931,28826,28826,-0.202,3.182,9.306,280,10.9396,afro1255,Afro-Asiatic
kpa,kutt1236,Kutto,language,Africa,10.7074,11.4953,733896,2744,37321,2744,-0.853,3.387,8.006,248,11.4953,afro1255,Afro-Asiatic
ksq,kwaa1269,Kwaami,language,Africa,10.4141,11.0192,680368,51708,61312,51708,-0.891,2.937,9.21,529,11.0192,afro1255,Afro-Asiatic
wka,kwad1248,Kw'adza,language,Africa,-4.00743,35.1828,434451,19166,67579,19166,-1.854,-0.332,0,1686,35.1828,afro1255,Afro-Asiatic
kvi,kwan1285,Kwang,language,Africa,10.1181,16.5129,1030304,136238,38724,38724,-0.215,3.855,9.729,335,16.5129,afro1255,Afro-Asiatic
kot,lagw1237,Lagwan,language,Africa,11.5592,14.9884,1023028,23555,12209,12209,-0.656,4.31,9.616,301,14.9884,afro1255,Afro-Asiatic
hia,lama1288,Lamang,language,Africa,11.0243,13.7362,890024,23050,42844,23050,-0.728,3.14,10.597,573,13.7362,afro1255,Afro-Asiatic
lln,lele1276,Lele (Chad),language,Africa,9.158,15.81149,902833,74252,54982,54982,0.24,3.146,10.166,385,15.81149,afro1255,Afro-Asiatic
liq,libi1250,Libido,language,Africa,8.09761,38.4997,572503,15929,120587,15929,-1.504,0.059,11.073,1842,38.4997,afro1255,Afro-Asiatic
ayl,liby1240,Libyan Arabic,language,Africa,22.0032,15.0014,992302,295019,238523,238523,-3.219,4.371,15.202,597,15.0014,afro1255,Afro-Asiatic
trg,lish1246,Lishán Didán,language,Eurasia,38,47,165255,2150,24516,2150,-5.767,-0.502,8.35,1631,47,afro1255,Afro-Asiatic
lsd,lish1247,Lishana Deni,language,Eurasia,31.7745,35.2225,45438,9119,54376,9119,-3.441,0.942,8.923,708,35.2225,afro1255,Afro-Asiatic
ldd,luri1256,Luri,language,Africa,10.059,9.59745,585093,56273,5630,5630,-0.428,2.822,0,597,9.59745,afro1255,Afro-Asiatic
